strap,landUnitValue,landUnitType,landClass,landClassDscr,GIS_sqft,GIS_acreage,status_cd
R0000602,6826.0,SF,1112.0,SINGLE FAM.RES.-LAND,6826,0.157,A 
R0000603,9513.0,SF,1112.0,SINGLE FAM.RES.-LAND,9513,0.218,A 
R0000604,7209.0,SF,1112.0,SINGLE FAM.RES.-LAND,7209,0.165,A 
R0000605,6099.0,SF,1112.0,SINGLE FAM.RES.-LAND,6099,0.14,A 
R0000610,8199.0,SF,1112.0,SINGLE FAM.RES.-LAND,8199,0.188,A 
R0000611,7213.0,SF,1112.0,SINGLE FAM.RES.-LAND,7213,0.166,A 
R0000612,11346.0,SF,1112.0,SINGLE FAM.RES.-LAND,11346,0.26,A 
R0000613,8612.0,SF,1112.0,SINGLE FAM.RES.-LAND,8612,0.198,A 
R0000615,3134.0,SF,1112.0,SINGLE FAM.RES.-LAND,3134,0.072,A 
R0000616,7461.0,SF,1112.0,SINGLE FAM.RES.-LAND,7461,0.171,A 
R0000622,11734.0,SF,1112.0,SINGLE FAM.RES.-LAND,11734,0.269,A 
R0000623,8639.0,SF,1112.0,SINGLE FAM.RES.-LAND,8639,0.198,A 
R0000625,6317.0,SF,1112.0,SINGLE FAM.RES.-LAND,6317,0.145,A 
R0000626,16522.0,SF,1112.0,SINGLE FAM.RES.-LAND,16522,0.379,A 
R0000627,9357.0,SF,1112.0,SINGLE FAM.RES.-LAND,9357,0.215,A 
R0000632,7007.0,SF,1112.0,SINGLE FAM.RES.-LAND,7007,0.161,A 
R0000634,10081.0,SF,1112.0,SINGLE FAM.RES.-LAND,10081,0.231,A 
R0000635,21863.0,SF,1115.0,DUP/TRIPLEXES-LAND,21863,0.502,A 
R0000637,7229.0,SF,1112.0,SINGLE FAM.RES.-LAND,7229,0.166,A 
R0000638,6443.0,SF,1112.0,SINGLE FAM.RES.-LAND,6443,0.148,A 
R0000639,10713.0,SF,1112.0,SINGLE FAM.RES.-LAND,10713,0.246,A 
R0000641,7498.0,SF,1112.0,SINGLE FAM.RES.-LAND,7498,0.172,A 
R0000647,7167.0,SF,1112.0,SINGLE FAM.RES.-LAND,7167,0.165,A 
R0000649,6840.0,SF,1112.0,SINGLE FAM.RES.-LAND,6840,0.157,A 
R0000653,6992.0,SF,1112.0,SINGLE FAM.RES.-LAND,6992,0.161,A 
R0000658,3855.0,SF,1112.0,SINGLE FAM.RES.-LAND,3855,0.088,A 
R0000660,6921.0,SF,1112.0,SINGLE FAM.RES.-LAND,6921,0.159,A 
R0000664,6323.0,SF,1112.0,SINGLE FAM.RES.-LAND,6323,0.145,A 
R0000665,17234.0,SF,1112.0,SINGLE FAM.RES.-LAND,17234,0.396,A 
R0000666,6380.0,SF,1112.0,SINGLE FAM.RES.-LAND,6380,0.146,A 
R0000667,6879.0,SF,1112.0,SINGLE FAM.RES.-LAND,6879,0.158,A 
R0000668,6296.0,SF,1112.0,SINGLE FAM.RES.-LAND,6296,0.145,A 
R0000669,10310.0,SF,1112.0,SINGLE FAM.RES.-LAND,10310,0.237,A 
R0000670,3754.0,SF,1112.0,SINGLE FAM.RES.-LAND,3754,0.086,A 
R0000672,7090.0,SF,1112.0,SINGLE FAM.RES.-LAND,7090,0.163,A 
R0000674,7039.0,SF,1112.0,SINGLE FAM.RES.-LAND,7039,0.162,A 
R0000675,11322.0,SF,1112.0,SINGLE FAM.RES.-LAND,11322,0.26,A 
R0000686,6174.0,SF,1112.0,SINGLE FAM.RES.-LAND,6174,0.142,A 
R0000687,7031.0,SF,1112.0,SINGLE FAM.RES.-LAND,7031,0.161,A 
R0000689,6787.0,SF,1112.0,SINGLE FAM.RES.-LAND,6787,0.156,A 
R0000691,6329.0,SF,1112.0,SINGLE FAM.RES.-LAND,6329,0.145,A 
R0000692,8370.0,SF,1112.0,SINGLE FAM.RES.-LAND,8370,0.192,A 
R0000695,10089.0,SF,1112.0,SINGLE FAM.RES.-LAND,10089,0.232,A 
R0000697,7251.0,SF,1112.0,SINGLE FAM.RES.-LAND,7251,0.166,A 
R0000699,6084.0,SF,1112.0,SINGLE FAM.RES.-LAND,6084,0.14,A 
R0000700,5579.0,SF,1112.0,SINGLE FAM.RES.-LAND,5579,0.128,A 
