strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000573,2021,82360,741240,,823600,52999.0,5889.0,,58888,A 
R0000574,2021,323700,692800,,1016500,49535.0,23145.0,,72680,A 
R0000576,2021,379800,659400,,1039200,47147.0,27156.0,,74303,A 
R0000578,2021,189500,641400,,830900,45860.0,13549.0,,59409,A 
R0000579,2021,519800,734100,,1253900,52488.0,37166.0,,89654,A 
R0000581,2021,929100,784600,,1713700,56099.0,66431.0,,122530,A 
R0000582,2021,448200,662200,,1110400,47347.0,32046.0,,79393,A 
R0000583,2021,2646300,1831800,,4478100,130974.0,189210.0,,320184,A 
R0000586,2021,839400,1004100,,1843500,71793.0,60017.0,,131810,A 
R0000587,2021,340400,630300,,970700,45066.0,24339.0,,69405,A 
R0000592,2021,486100,613800,,1099900,43887.0,34756.0,,78643,A 
R0000597,2021,882800,697700,,1580500,49886.0,63120.0,,113006,A 
R0000598,2021,72455,708030,,780485,50624.0,5181.0,,55805,A 
R0000599,2021,467500,981800,,1449300,70199.0,33426.0,,103625,A 
R0000600,2021,897800,756100,,1653900,54061.0,64193.0,,118254,A 
R0000602,2021,245400,360800,,606200,25797.0,17546.0,,43343,A 
R0000603,2021,2185800,1211300,,3397100,86608.0,156285.0,,242893,A 
R0000604,2021,821200,464700,,1285900,33226.0,58716.0,,91942,A 
R0000605,2021,547800,653800,,1201600,46747.0,39168.0,,85915,A 
R0000610,2021,424300,941600,,1365900,67324.0,30337.0,,97661,A 
R0000611,2021,307400,543500,,850900,38860.0,21979.0,,60839,A 
R0000612,2021,134430,1209870,,1344300,86506.0,9612.0,,96118,A 
R0000613,2021,756270,955000,,1711270,68283.0,54073.0,,122356,A 
R0000615,2021,209600,695200,,904800,49707.0,14986.0,,64693,A 
R0000616,2021,630750,644700,,1275450,46096.0,45099.0,,91195,A 
R0000622,2021,939200,1231500,,2170700,88052.0,67153.0,,155205,A 
R0000623,2021,997100,693700,,1690800,49600.0,71293.0,,120893,A 
R0000625,2021,197000,347100,,544100,24818.0,14086.0,,38904,A 
R0000626,2021,807300,1890800,,2698100,135192.0,57722.0,,192914,A 
R0000627,2021,210400,937400,,1147800,67024.0,15044.0,,82068,A 
R0000632,2021,894100,1055100,,1949200,75440.0,63928.0,,139368,A 
R0000634,2021,114250,1024740,,1138990,73269.0,8169.0,,81438,A 
R0000635,2021,379500,1103600,,1483100,78907.0,27134.0,,106041,A 
R0000637,2021,186300,660800,,847100,47247.0,13320.0,,60567,A 
R0000638,2021,150600,1075800,,1226400,76920.0,10768.0,,87688,A 
